Playlist,Precision,Recall
90s Rock Anthems,0.264956,1
No Wahala,0.137928731,1
Viva Latino,0.131122244,1
Sawa,0.152767978,1
Calm Vibes,0.254075,1
Throwback_ Latin Explosion,0.138156425,1
The Piano Lounge,0.1871875,1
HIIT-Hop,0.136964286,1
Tear Drop,0.412564,1
El Bloque,0.13561086,1
Today's Top Hits,0.128823529,1
I Love My '80s Hip-Hop,0.128763931,1
Raw Beats,0.136590126,1
Latin Cardio,0.13517094,1
Happy Hits!,0.138156425,1
Footwork Fever,0.1871875,1
Tender,0.196749,1
Beats n' Bars,0.141917808,1
Global X,0.130576923,1
LADY GAGA  JOANNE,0.129210526,1
Mambo Classics,0.17745234,1
Mind Right,0.139898534,1
Global Top 50,0.225778894,1
Hip Hop Made Me,0.3227578,1
Lounge - Soft House,0.137928731,1
ThrowbackThursday,0.131122244,1
Radio 1 Playlist (BBC),0.152767978,1
Powerwalk!,0.13517094,1
Sad Beats,0.138156425,1
Fresh Finds,0.1871875,1
Chicano Fly Zone,0.4492057,1
Beast Mode,0.30859343,1
State of Mind,0.13561086,1
Happy Beats,0.128823529,1
A1 Hip-Hop,0.128763931,1
Para Entrenar,0.154565901,1
Hella Good New Millenia Hits,0.2235856,1
Pop Warmup 130 BPM,0.215408163,1
80s Love Songs,0.177642971,1
Workout Twerkout,0.138156425,1
Fantastic K-Workout,0.1871875,1
Lowkey Flex,0.136964286,1
Pumped Pop,0.184068441,1
Doo-Wop Dee Doo,0.1064677,1
